 "number" , "content_type" , "source" ,
 "4" , "OTHER" , "https://mercury.concordia.ca/record=b2680281" ,
 "5" , "OTHER" , "http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/" ,
 "5" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides05.pdf" ,
 "5" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/897466408" ,
 "5" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet05.pdf" ,
 "5" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/871683907" ,
 "5" , "OTHER" , "https://link.springer.com/chapter/10.1007/978-3-030-59833-4_1" ,
 "5" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/853679890" ,
 "5" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/704257552" ,
 "5" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/769756125" ,
 "6" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/314121652" ,
 "6" , "READING" , "http://informationretrieval.org/" ,
 "6" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/954339855" ,
 "6" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet06.pdf" ,
 "6" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides06.pdf" ,
 "7" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides07.pdf" ,
 "7" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/801812987" ,
 "7" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet07.pdf" ,
 "7" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/960211579" ,
 "8" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/772977853" ,
 "8" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides08.pdf" ,
 "8" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/359890490" ,
 "8" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/1102387045" ,
 "8" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet08.pdf" ,
 "9" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet09.pdf" ,
 "9" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides09.pdf" ,
