" ""topic"" "," ""labID"" "," ""resource"" "
" ""http://dbpedia.org/resource/Decision_tree"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Downtown_Montreal"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Gold_standard"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Library"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/List_of_IOC_country_codes"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Loyola_University_Maryland"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Machine_learning"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/McGill_University"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Medical_record"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Montreal"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Natural-language_processing"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Nintendo_Entertainment_System"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Our_Lady_of_Graces"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Quartier_Concordia"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Quebec"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Scikit-learn"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/String_searching_algorithm"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Text_mining"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Tfidf"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Application_programming_interface"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Artificial_neural_network"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Banana"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Cat"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Cosine_similarity"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Dog"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Exclusive_or"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/File_Explorer"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Gensim"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/K-means_clustering"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Language_model"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Library"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Machine_learning"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Natural-language_processing"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
" ""http://dbpedia.org/resource/Open-source_model"" "," ""11"" "," ""http://localhost:3030/University/COMP6741/Labs/lab11.pdf"" "
