" ""topic"" "," ""lectureID"" "," ""resource"" ",,
" ""http://dbpedia.org/resource/France"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Gaussian_function"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Google"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Google_News"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Gradient_descent"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Harry_Potter"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Homo_economicus"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Insulin"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Japan"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Loss_function"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Louis_Pasteur"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/MIT_Press"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Manning_Publications"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Marvin_Minsky"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
