CourseId,Identifier,ContentType,Content
40353,5,SLIDES,/University/COMP6721/Lectures/slides05.pdf
40353,6,SLIDES,/University/COMP6721/Lectures/slides06.pdf
40353,7,SLIDES,/University/COMP6721/Lectures/slides07.pdf
40353,8,SLIDES,/University/COMP6721/Lectures/slides08.pdf
40353,9,SLIDES,/University/COMP6721/Lectures/slides09.pdf
40353,10,SLIDES,/University/COMP6721/Lectures/slides10.pdf
40353,11,SLIDES,/University/COMP6721/Lectures/slides11.pdf
40353,12,SLIDES,/University/COMP6721/Lectures/slides12.pdf
40353,2,WORKSHEET,/University/COMP6721/Worksheets/worksheet01.pdf
40353,3,WORKSHEET,/University/COMP6721/Worksheets/worksheet02.pdf
40353,4,WORKSHEET,/University/COMP6721/Worksheets/worksheet03.pdf
40353,5,WORKSHEET,/University/COMP6721/Worksheets/worksheet04.pdf
